ID Item,Name,Color,Unit Value,Last Inventory Quantity,Total value last inventory,Date Last Inventory,Pictures,Total consumption,Total Stock,Threshold Alarm,Check Stock,Total Value,Threshold total Value,Check total Value,Storage activities,--Storage activities,Total Stock last item,DashBoard Max pearl
CLOTHEMAN0052020,Cloth red black for man,Red,$ 95,2,$190,2020-06-04,Clotheredblackforman.jpeg (https://dl.airtable.com/.attachments/aa6a1686081a0b475ddae0588ae11537/25a5130b/Clotheredblackforman.jpeg),0,2,1,✔️ Stock Ok,$190,$200,💲 Value OK,CLOTHEMAN0052020,CLOTHEMAN0052020,2,
CLOTHEMAN0062020,Cloth light blue for man,white,$ 90,2,$180,2020-06-04,Clothlightblueforman.jpg (https://dl.airtable.com/.attachments/a03d1fe842c792942814433c2307786c/3c7cd7cb/Clothlightblueforman.jpg),0,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,CLOTHEMAN0062020,CLOTHEMAN0062020,2,
CLOTHEMAN0062020,Cloth light pink for man,pink,$ 90,2,$180,2020-06-04,Clothlightpinkforman.jpg (https://dl.airtable.com/.attachments/92a5511ae797f5fb29a06a0a15441bc1/598c9b5c/Clothlightpinkforman.jpg),0,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,CLOTHEMAN0062020,CLOTHEMAN0062020,2,
CLOTHEMAN0072020,Cloth light blue for man,"blue,white",$ 96,2,$192,2020-06-04,Clothlighttrad3forman.jpg (https://dl.airtable.com/.attachments/2d41c6f184eec6580c284711a1a81fb6/7861aac9/Clothlighttrad3forman.jpg),0,2,1,✔️ Stock Ok,$192,$200,💲 Value OK,CLOTHEMAN0072020,CLOTHEMAN0072020,2,
CLOTHEMAN0082020,Cloth blue  star for man,blue,$ 90,2,$180,2020-06-04,Clothlighttrad2forman.jpg (https://dl.airtable.com/.attachments/1151ced3675281a8a25fac5b3cde488a/6a513f93/Clothlighttrad2forman.jpg),0,2,1,✔️ Stock Ok,$180,$200,💲 Value OK,CLOTHEMAN0082020,CLOTHEMAN0082020,2,
CLOTHEMAN0102020,Cloth light traditional for man,white,$ 85,2,$170,2020-06-04,Clothlighttrad1forman.jpg (https://dl.airtable.com/.attachments/667f857fd70302a28c365d333278eba7/161749c5/Clothlighttrad1forman.jpg),0,2,1,✔️ Stock Ok,$170,$200,💲 Value OK,CLOTHEMAN0102020,CLOTHEMAN0102020,2,
CLOTHEMAN0142020,Cloth blue president for man,blue,$ 60,2,$120,2020-06-04,Clothlighttrad6forman.jpg (https://dl.airtable.com/.attachments/cf0cd1bc131028267da0ec598550c712/b2a58beb/Clothlighttrad6forman.jpg),0,2,1,✔️ Stock Ok,$120,$200,💲 Value OK,CLOTHEMAN0142020,CLOTHEMAN0142020,2,
CLOTHEMAN0152020,Cloth blue purple for man,blue,$ 50,2,$100,2020-06-04,Clothlighttrad5forman.jpg (https://dl.airtable.com/.attachments/17fb028eab9e92b00bfedaa5d33f6039/7238b493/Clothlighttrad5forman.jpg),0,2,1,✔️ Stock Ok,$100,$200,💲 Value OK,CLOTHEMAN0152020,CLOTHEMAN0152020,2,
CLOTHEMAN0162020,Cloth blue and white for man,blue,$ 70,2,$140,2020-06-04,Clothlighttrad4forman.jpg (https://dl.airtable.com/.attachments/e4c077229c48134b22a317ca91f85661/5e5fe96f/Clothlighttrad4forman.jpg),0,2,1,✔️ Stock Ok,$140,$200,💲 Value OK,CLOTHEMAN0162020,CLOTHEMAN0162020,2,
CLOTHEMAN0182020,Cloth traditional for man,white,$ 40,2,$80,2020-06-04,Clothwithcoloredforman.jpg (https://dl.airtable.com/.attachments/bcf2dc49e5ed78c040d6464fcf4730f0/83650af8/Clothwithcoloredforman.jpg),0,2,1,✔️ Stock Ok,$80,$200,💲 Value OK,CLOTHEMAN0182020,CLOTHEMAN0182020,2,
COFFEESSEDANDYELLOWPEARL,Coffee seed and yellow pearl,yellow,$ 70,1,$70,2020-03-12,Coffeessedandyellowpearl.jpg (https://dl.airtable.com/.attachments/0512a93774d8d8b0a67840692a9c7b14/745760eb/Coffeessedandyellowpearl.jpg),0,1,1,✔️ Stock Ok,$70,$300,💲 Value OK,COFFEESSEDANDYELLOWPEARL,COFFEESSEDANDYELLOWPEARL,1,
HANDBAGBRAUNSTRONG1,Bag hand braun,"braun,Red,black",$ 35,3,$105,2020-01-01,Handbackbraunstrong1.jpg (https://dl.airtable.com/.attachments/297ffcd1ba341c6ce2430fee398b4f8b/81ebea44/Handbackbraunstrong1.jpg),0,3,5,💣 Critical Stock,$105,$200,💲 Value OK,HANDBAGBRAUNSTRONG1,HANDBAGBRAUNSTRONG1,3,
HANDBAGGHANASTYL1,Bag Ghana Style 1,"Red,yellow,blue",$ 40,15,$600,2020-01-01,HandbackGhanaStyl1.jpg (https://dl.airtable.com/.attachments/22873c3c2be99fc6f365f9844f3b7843/e796e39a/HandbackGhanaStyl1.jpg),0,15,10,✔️ Stock Ok,$600,$500,⚠ Value High ⚠,"HANDBAGGHANASTYL1,HANDBAGGHANASTYL2",HANDBAGGHANASTYL1,15,HANDBAGGHANASTYL1
HANDBAGGHANASTYL2,Bag Ghana Style 2,"Red,yellow,blue,Orange,braun",$ 40,12,$480,2020-01-01,HandbackGhanaStyl2.jpg (https://dl.airtable.com/.attachments/e171334f4b0cf35c498a1192a8c58921/3524fdbf/HandbackGhanaStyl2.jpg),-3,15,10,✔️ Stock Ok,$600,$500,⚠ Value High ⚠,,HANDBAGGHANASTYL2,15,
HANDBAGGHANASTYL3,Bag Ghana Style 3,"Red,yellow,blue,Orange,braun",$ 40,2,$80,2020-01-01,HandbackGhanaStyl3.jpg (https://dl.airtable.com/.attachments/859c7fb638308ff98d2118eb370b0f5b/35716038/HandbackGhanaStyl3.jpg),0,2,2,✔️ Stock Ok,$80,$200,💲 Value OK,HANDBAGGHANASTYL3,HANDBAGGHANASTYL3,2,
HANDBAGGREENSTRONG,Bag hand green,"green,white,black",$ 35,2,$70,2020-01-01,Handbacgreenstrong1.jpg (https://dl.airtable.com/.attachments/9998b5be003f4df08a558d96037c3bf2/e07b9e6f/Handbacgreenstrong1.jpg),0,2,5,💣 Critical Stock,$70,$200,💲 Value OK,HANDBAGGREENSTRONG,HANDBAGGREENSTRONG,2,
HANDBAGPINKSTRONG1,Bag hand purple,"pink,white,purple",$ 35,3,$105,2020-01-01,Handbackpinkstrong1.jpg (https://dl.airtable.com/.attachments/c7894b086f65c94f44d07ee415c2625f/108cd493/Handbackpinkstrong1.jpg),0,3,2,✔️ Stock Ok,$105,$200,💲 Value OK,HANDBAGPINKSTRONG1,HANDBAGPINKSTRONG1,3,
HANDBAGRAINBOWSTRONG1,Bag hand rainbow,"blue,black,Orange",$ 35,1,$35,2020-01-01,Handbackrainbowstrong1.jpg (https://dl.airtable.com/.attachments/634da80dfa994666d1e9d475e09f603c/a7a29f71/Handbackrainbowstrong1.jpg),0,1,2,💣 Critical Stock,$35,$200,💲 Value OK,HANDBAGRAINBOWSTRONG1,HANDBAGRAINBOWSTRONG1,1,
HANDBAGTRADITIONAL,Bag hand traditional,"braun,Red",$ 50,1,$50,2020-01-01,Handbacktraductional.jpeg (https://dl.airtable.com/.attachments/fe118a148532fc948eb2198a89e20845/9696c48e/Handbacktraductional.jpeg),0,1,2,💣 Critical Stock,$50,$200,💲 Value OK,HANDBAGTRADITIONAL,HANDBAGTRADITIONAL,1,
HANDBAGWHITEGREYSTRONG1,Bag hand red gray,"Red,black,white",$ 35,15,$525,2020-01-01,Handbackwhitegreyredstrong1.jpeg (https://dl.airtable.com/.attachments/3d65ecd99aee3c66963bd8722ef70c07/833e21be/Handbackwhitegreyredstrong1.jpeg),0,15,10,✔️ Stock Ok,$525,$200,⚠ Value High ⚠,HANDBAGWHITEGREYSTRONG1,HANDBAGWHITEGREYSTRONG1,15,
HANDBAGYELLOWSTRONG1,Bag hand yellow,"green,yellow,black",$ 35,12,$420,2020-01-01,Handbackyellowstrong1.jpg (https://dl.airtable.com/.attachments/537665ee2da0dec4ad417da1386ed16c/5d5cf8fc/Handbackyellowstrong1.jpg),0,12,10,✔️ Stock Ok,$420,$200,⚠ Value High ⚠,HANDBAGYELLOWSTRONG1,HANDBAGYELLOWSTRONG1,12,
JOUBYBAG,Bag hand leather,braun,$ 35,1,$35,2020-01-01,JoubyBag.jpg (https://dl.airtable.com/.attachments/86962feb9ae2d0d98394a3ce85eb0184/4bbd7e23/JoubyBag.jpg),0,1,2,💣 Critical Stock,$35,$200,💲 Value OK,JOUBYBAG,JOUBYBAG,1,
NECKLACECOFFEEBEANSBLUE,Necklace coffee beans blue,blue,$ 120,1,$120,2020-03-12,Necklacecoffeebeansblue.jpg (https://dl.airtable.com/.attachments/71cdb67097a02a63710dc4db6d16a6a9/0d494561/Necklacecoffeebeansblue.jpg),0,1,0,✔️ Stock Ok,$120,$300,💲 Value OK,NECKLACECOFFEEBEANSBLUE,NECKLACECOFFEEBEANSBLUE,1,
NECKLACEKENYANBLUEREDPURPLE,Necklace kenyan blue red purple,"Red,purple",$ 50,1,$50,2020-03-12,Necklacekenyanblueredpurple.jpg (https://dl.airtable.com/.attachments/ddf12e81f0d26bb4117af96d8633332a/ade07076/Necklacekenyanblueredpurple.jpg),0,1,0,✔️ Stock Ok,$50,$300,💲 Value OK,NECKLACEKENYANBLUEREDPURPLE,NECKLACEKENYANBLUEREDPURPLE,1,
NECKLACELOCALPEARL1,Necklace local pearl 1,"white,green,blue",$ 60,2,$120,2020-03-12,Necklacelocalpearl1.jpg (https://dl.airtable.com/.attachments/f0512861a9928e6fbc49612e706f8dbf/175743f9/Necklacelocalpearl1.jpg),0,2,0,✔️ Stock Ok,$120,$300,💲 Value OK,NECKLACELOCALPEARL1,NECKLACELOCALPEARL1,2,
NECKLACELOCALPEARL2,Neck lacelocal pearl 2,"white,green,blue",$ 65,3,$195,2020-03-12,Necklacelocalpearl2.jpg (https://dl.airtable.com/.attachments/b76ffcbba99ea050077688291245bccc/678e455c/Necklacelocalpearl2.jpg),0,3,0,✔️ Stock Ok,$195,$300,💲 Value OK,NECKLACELOCALPEARL2,NECKLACELOCALPEARL2,3,
NECKLACELOCALPEARLBLUE,Necklace local pearl blue,blue,$ 90,1,$90,2020-03-12,Necklacelocalpearlblue.jpg (https://dl.airtable.com/.attachments/1528ca7ea463b0e8cca1d195ddbcaf56/b4498f92/Necklacelocalpearlblue.jpg),0,1,0,✔️ Stock Ok,$90,$300,💲 Value OK,NECKLACELOCALPEARLBLUE,NECKLACELOCALPEARLBLUE,1,
NECKLACEREDBLUEDARKBLUEPEARL,Necklace red blue dark blue pearl,"blue,Red",$ 95,1,$95,2020-03-12,Necklaceredbluedarkbluepearl.jpg (https://dl.airtable.com/.attachments/f86caa89478ec7bf0b69157e7a7832d3/2974d657/Necklaceredbluedarkbluepearl.jpg),0,1,0,✔️ Stock Ok,$95,$300,💲 Value OK,NECKLACEREDBLUEDARKBLUEPEARL,NECKLACEREDBLUEDARKBLUEPEARL,1,
NECKLACEREDBLUEDARKPEARL,Necklace red blue dark pearl,"Red,blue",$ 90,1,$90,2020-03-12,Necklaceredredhearbluedarkbluepearl.jpg (https://dl.airtable.com/.attachments/c53cd488a82076417283416a8facf394/b4423261/Necklaceredredhearbluedarkbluepearl.jpg),0,1,0,✔️ Stock Ok,$90,$300,💲 Value OK,NECKLACEREDBLUEDARKPEARL,NECKLACEREDBLUEDARKPEARL,1,
NECKLACEWHITEHEART,Necklace white heart,white,$ 110,1,$110,2020-03-12,Necklacewhiteheart.jpg (https://dl.airtable.com/.attachments/67cd861e8bb8c5f457b8cfb7de1611a5/278f40ba/Necklacewhiteheart.jpg),0,1,0,✔️ Stock Ok,$110,$300,💲 Value OK,NECKLACEWHITEHEART,NECKLACEWHITEHEART,1,
NECKLACEYELLOWPEARL,Necklace yellow pearl,yellow,$ 70,1,$70,2020-03-12,Necklaceyellowpearl.jpg (https://dl.airtable.com/.attachments/fed132d57e2a2223faa1ca963392cb1c/54e97bd7/Necklaceyellowpearl.jpg),0,1,0,✔️ Stock Ok,$70,$300,💲 Value OK,NECKLACEYELLOWPEARL,NECKLACEYELLOWPEARL,1,
NECKLACEYELLOWREADBLUEPEARL,Necklace yellow read blue pearl,"yellow,Red",$ 95,1,$95,2020-03-12,Necklaceyellowreadbluepearl.jpg (https://dl.airtable.com/.attachments/2f76c1832bb71f6d0a86edbd9ee75554/afbe3b1d/Necklaceyellowreadbluepearl.jpg),0,1,0,✔️ Stock Ok,$95,$300,💲 Value OK,NECKLACEYELLOWREADBLUEPEARL,NECKLACEYELLOWREADBLUEPEARL,1,
NECKLACEYEPBLACK,Neclace Yep black,black,$ 80,1,$80,2020-03-12,NeclaceYepblack.jpg (https://dl.airtable.com/.attachments/8a1e6e38d47012b41371601a171fb535/f3b636d6/NeclaceYepblack.jpg),0,1,0,✔️ Stock Ok,$80,$300,💲 Value OK,NECKLACEYEPBLACK,NECKLACEYEPBLACK,1,
NECKLACEYEPBLUE,Neclace Yep blue,blue,$ 80,1,$80,2020-03-12,NeclaceYepblue.jpg (https://dl.airtable.com/.attachments/f3a6f23fd015ee7af18fa036e8c4672a/f6337783/NeclaceYepblue.jpg),0,1,0,✔️ Stock Ok,$80,$300,💲 Value OK,NECKLACEYEPBLUE,NECKLACEYEPBLUE,1,
PINESAPENCENS,Pine Sap for encens,yellow,$ 5,53,$265,2020-04-08,Chewing-gum-oliban.jpg (https://dl.airtable.com/.attachments/3430e59b00d07816e5d808d13f1c8b81/a9f5d40b/Chewing-gum-oliban.jpg),0,53,10,✔️ Stock Ok,$265,$200,⚠ Value High ⚠,PINESAPENCENS,PINESAPENCENS,53,
PURENCENS,Pur encens from Lebanon,yellow,$ 5,18,$90,2020-04-08,Encens.jpeg (https://dl.airtable.com/.attachments/a2bb2dc824f9594d07280ac030bb6c5a/f0955a17/Encens.jpeg),-1500,1518,10,✔️ Stock Ok,"$7,590",$200,⚠ Value High ⚠,PURENCENS,PURENCENS,1518,
SANDALBLUEYELLOWORANGE,Sandal blue yellow orange,yellow,$ 40,1,$40,2020-04-04,Sandalblueyelloworange.jpg (https://dl.airtable.com/.attachments/3239821209e2c2ee6bddea9ad76fe2da/79c1d688/Sandalblueyelloworange.jpg),0,1,1,✔️ Stock Ok,$40,$100,💲 Value OK,SANDALBLUEYELLOWORANGE,SANDALBLUEYELLOWORANGE,1,
SANDALPEARLBASICCOLOREDBLACK,Sandal Pearl basic colored black,"black,white",$ 45,1,$45,2020-04-04,SandalPearlbasiccoloredblack.jpg (https://dl.airtable.com/.attachments/5b9c40a0cbad495b2b67c26d1ed66b66/f4e294fc/SandalPearlbasiccoloredblack.jpg),0,1,1,✔️ Stock Ok,$45,$100,💲 Value OK,SANDALPEARLBASICCOLOREDBLACK,SANDALPEARLBASICCOLOREDBLACK,1,
SANDALPEARLBASICRAINBOW,Sandal Pearl basic rainbow,"Red,yellow,green,blue",$ 50,1,$50,2020-04-04,SandalPearlbasicrainbow.jpg (https://dl.airtable.com/.attachments/f1e1d4e3981ded36a53657394c7135b7/515f0bf1/SandalPearlbasicrainbow.jpg),0,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,SANDALPEARLBASICRAINBOW,SANDALPEARLBASICRAINBOW,1,
SANDALPEARLFEETCOVER,Sandal Pearl feet cover,"Red,yellow,green,blue",$ 50,1,$50,2020-04-04,SandalPearlfeetcover.jpg (https://dl.airtable.com/.attachments/c7a8542186664a36312276d348a611d4/96db5951/SandalPearlfeetcover.jpg),0,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,SANDALPEARLFEETCOVER,SANDALPEARLFEETCOVER,1,
SANDALPEARLFOREVER,Sandal Pearl for Ever,"Red,yellow,green,blue",$ 50,1,$50,2020-04-04,SandalPearlforEver.jpg (https://dl.airtable.com/.attachments/0b223b534d5987d515bd9b709c626305/2744b670/SandalPearlforEver.jpg),0,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,SANDALPEARLFOREVER,SANDALPEARLFOREVER,1,
SANDALPEARLWHITE,Sandal Pearl white,white,$ 50,1,$50,2020-04-04,SandalPearlwhite.jpg (https://dl.airtable.com/.attachments/bfb9c02b8c5cdfcb0ae4f586bc682bb1/9ac75acf/SandalPearlwhite.jpg),0,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,SANDALPEARLWHITE,SANDALPEARLWHITE,1,
SANDALROUNDCIRCLECOLORED,Sandal Round Circle colored,"white,yellow",$ 45,1,$45,2020-04-04,SandalRoundCirclecolored.jpg (https://dl.airtable.com/.attachments/ccd15f436312663c3ffa40ccb82b7347/4321c517/SandalRoundCirclecolored.jpg),0,1,1,✔️ Stock Ok,$45,$100,💲 Value OK,SANDALROUNDCIRCLECOLORED,SANDALROUNDCIRCLECOLORED,1,
SANDALROUNDCIRCLEORANGE,Sandal Round Circle Orange,"white,yellow,Orange",$ 50,1,$50,2020-04-04,SandalRoundCircleOrange.jpg (https://dl.airtable.com/.attachments/1eda768534fa62dbc640abdfb269ddb6/62f9271f/SandalRoundCircleOrange.jpg),0,1,1,✔️ Stock Ok,$50,$100,💲 Value OK,SANDALROUNDCIRCLEORANGE,SANDALROUNDCIRCLEORANGE,1,
SANDALWHITEBLACKROUND,Sandal White Black Round,"white,black",$ 47,1,$47,2020-04-04,SandalWhiteBlackRound.jpg (https://dl.airtable.com/.attachments/34977b5bdedc03c2da0f2ed7d2f1a054/e6c235a9/SandalWhiteBlackRound.jpg),0,1,1,✔️ Stock Ok,$47,$100,💲 Value OK,SANDALWHITEBLACKROUND,SANDALWHITEBLACKROUND,1,
